"","salmonovary_02","salmonovary_03","salmonovary_07","salmonovary_09","salmonovary_10","salmonovary_11","salmonovary_12","salmonovary_13","salmonovary_14","salmonovary_15","salmonovary_16","salmonovary_17","salmonovary_18","salmonovary_19","salmonovary_20","salmonovary_21","salmonovary_22","salmonovary_23","salmonovary_24","salmonovary_26","salmonovary_27","salmonovary_28"
"XP_020307639.1",-8.58330519772026,-8.69133160757613,-8.5431779196907,-8.70764345789177,-8.13651383251248,-7.93950820751449,-8.23976186433553,-8.32213936421039,-8.10480447418939,-8.06642697555589,-8.03602998034656,-8.07650923655698,-8.20660724473654,-8.36466018410947,-8.22345204378984,-8.36379624302294,-8.02499979352382,-8.42221049536208,-8.34818027607738,-7.91103354558922,-8.22506653263377,-8.06005571025852
"XP_020307649.1",-11.4248243658517,-10.6638188756906,-12.5090754313529,-11.7784314508143,-11.4510450176137,-11.7086888700166,-10.9205043291345,-10.9471093693545,-12.4106177095331,-11.0162205642269,-12.5242450082741,-10.4621798102368,-10.5874288990975,-11.6323536867153,-10.9242541012359,-10.6938940118057,-11.6952784471646,-11.6587989864215,-10.8606687592934,-11.5238723987515,-10.9048128097667,-12.5402218493739
"XP_020307658.1",-9.34452282643855,-8.8186387848106,-9.03645092983494,-9.37869501503827,-8.74867993429164,-8.62880182244947,-8.86767497609176,-8.41369126832217,-9.26599725152997,-8.85695988614745,-8.84541571562514,-8.63119641205988,-9.25215042682325,-8.55659596413155,-8.81986277843967,-8.86368722552086,-8.31216524477408,-9.08212261371934,-8.4318197919723,-8.8612036128853,-8.41368298824784,-8.10349751598006
"XP_020307659.2",-5.02731957763475,-5.3980786549266,-5.36801721805448,-5.27444447045578,-5.3572201595846,-5.09372057228732,-4.90584377782499,-5.1610006076332,-5.15438244184077,-5.16644005078186,-5.35092801559263,-5.38588996608827,-5.3025177764576,-5.41092025159737,-5.30832581704998,-5.19220206393559,-5.02173557766583,-5.26889398013096,-5.22927175325383,-5.23979912246469,-5.01213240714763,-5.23988100516525
"XP_020307662.1",-10.8591348786421,-10.6559363927329,-9.70696977299379,-10.9710469638191,-10.6789900678423,-10.5150745081291,-11.0444845281817,-10.0479941668909,-10.8491284779498,-12.6543596930959,-10.764774516084,-9.98769336060229,-10.2761167335847,-9.82471848988847,-10.254320701013,-10.3565068205935,-9.74091101230774,-10.5123178119344,-9.76773204540496,-9.67349876884358,-9.99680899742328,-11.4601629365473
"XP_020307671.1",-18.3612750606916,-18.8342002909848,-19.3954280550609,NA,NA,-18.6395697905239,-18.437368383747,-17.4398316937263,-17.1369297695332,-19.5228353817758,-17.5945314246614,-19.4509179311482,-18.6058668869186,-19.5747036206748,-20.0795904146524,-18.0072977808685,-18.1492459557148,NA,-19.1234652241302,-18.2033579684583,-17.7570442631198,-18.0630507906281
"XP_020307676.1",-12.8312274020324,-12.5990097437667,-12.6896840801177,-13.9809900320444,-12.6303130874819,-12.8338169628848,-12.1176557969508,-12.353308431151,-12.8114514368922,-12.113366073267,-12.396351198037,-12.3677430766378,-12.095037786188,-12.6259908681539,-12.2381877649733,-12.0924055704253,-12.3634202418924,-12.7163637842037,-11.9322004328642,-11.7577364427992,-12.0345323572924,-12.3856870714633
"XP_020307680.1",-6.77087142222066,-6.39657767270754,-6.8638495831206,-7.15967017539503,-6.50332192223795,-6.09277723425461,-6.28929219233754,-6.20276699893599,-7.18161107269105,-6.2182738596404,-6.2593484119415,-6.37133958949421,-6.46678762508952,-6.44807321551887,-6.37913320527461,-6.34617498821204,-6.3295000920276,-6.82113846840829,-5.97958384842072,-6.8703938762112,-6.14533165029745,-6.28966224357004
"XP_020307683.1",-12.9490241089008,-12.8769182477535,-13.5205591148391,-13.5315318252369,-12.3613545433742,-12.2757559343092,-12.5460534386879,-12.5279405266851,-13.0200325685324,-12.6912194824202,-12.2517156386048,-12.4569302045578,-12.846274240338,-12.940783702716,-12.4129605816049,-12.8545191307556,-12.1190778310834,-13.5318045915681,-12.288908133653,-12.4756093300585,-12.068983774485,-12.5610097884729
"XP_020307689.1",-6.04859983655259,-5.84763301776815,-6.71371032707376,-5.65784273809101,-7.36703554717417,-7.49534810434886,-6.56110106024091,-6.93843557260778,-6.37568433511925,-6.23807657062344,-7.69723738716205,-6.85219735929822,-5.92438455277986,-6.21125264485237,-6.86917155562915,-5.81296071992294,-7.4525935061845,-6.11572358319692,-6.96831118366917,-6.89203685200255,-6.20513812963325,-7.33560178939048
"XP_020307696.1",-13.3150214978481,-13.0021639486766,-13.7402243062413,-13.5969707824305,-12.8286945061955,-12.739978624967,-13.0553135147916,-12.8487269930174,-14.3983799773513,-13.4023111182787,-13.3191381390104,-13.1243018493041,-13.7783359682936,-13.4097776309313,-12.6622873237571,-13.2662310293707,-12.6498841624099,-13.8235019081849,-12.5476366931971,-12.7024178677793,-12.3446494727563,-13.0209835308755
"XP_020307700.1",-9.22952110913775,-9.22111022872268,-9.27821389091628,-9.32685417067518,-8.4516641352198,-8.27008519196815,-8.81476791923381,-8.47155831041639,-9.37823227154836,-9.00479142230252,-8.4895393043798,-8.47079325546184,-9.34277614181182,-9.05737719314215,-8.35064187859763,-9.10676387303826,-8.19439629425317,-9.29189454159949,-8.6195168610226,-8.65976814494552,-8.44092723944013,-8.34117790308701
"XP_020307701.1",-10.3501193668186,-10.2224087725599,-10.2099896727057,-10.4405244011425,-10.0571052967296,-10.0875071484808,-10.0335235984404,-10.0023776409807,-10.2691819860389,-10.3934926935446,-10.3748255386898,-10.1607972822214,-10.2620955764988,-10.2281292059608,-10.1804613120908,-10.0598016004248,-9.98613073085801,-10.4448225325112,-9.95875863309522,-9.8012546756263,-9.7975466791747,-10.3241505369825
"XP_020307702.1",-7.1892008853125,-7.24101653960003,-7.31521044644145,-7.30855895418223,-7.05114960184763,-7.039906052081,-6.68498856874956,-6.91588518769946,-6.78470693242412,-6.86790753765559,-6.76227066376102,-6.97063653166109,-7.01277913301513,-6.98792081836371,-7.12197291307271,-7.03581945120742,-6.81497119362396,-7.22658599156327,-6.75056451149902,-6.92350090039139,-6.6224889390241,-6.71518075791271
"XP_020307704.1",-5.68392063105291,-6.04238881339645,-5.57947293330824,-6.36227148661326,-5.61773230141471,-5.69754879878283,-5.73287958644671,-5.71360127815768,-5.78405187901172,-5.65765551560293,-5.52281946758493,-5.68111272738672,-6.0278929658986,-5.68274228342235,-6.09533967151791,-5.78440375479607,-5.97353862394269,-5.65850717370595,-5.80485794723936,-6.00878908406253,-6.00621096168281,-5.7579940751139
"XP_020307710.1",-13.6910191633834,-13.7206390091003,-13.2276210026754,-13.5770075609794,-13.1206130029184,-12.7172023600602,-13.3937444270347,-12.7774846088104,-14.4241469578746,-13.9338522884386,-13.3462744412162,-12.885502388999,-13.7730046881085,-13.504113770196,-13.1458605798963,-13.2382017770658,-12.9870341468602,-14.004272032317,-12.4049878467222,-12.6738327894145,-12.7090490997689,-13.4261127313135
